# Constructed from biom file
#OTU ID	old_G1_R1	old_G1_R2	old_G1_R3	old_G3_R1	old_G3_R2	old_G3_R3	old_G5_R1	old_G5_R2	old_G5_R3	old_G7_R1	old_G7_R2	old_G7_R3
524065d143eaa1fc0455b24d8977e9ba	0.0	0.0	0.0	21253.0	19783.0	20821.0	24002.0	22537.0	20463.0	32920.0	29742.0	30070.0
a2a3d7cbc7d869cb978d2806364972f6	28685.0	26895.0	28997.0	4009.0	3489.0	4502.0	609.0	1219.0	714.0	0.0	26.0	8.0
93e1ce8364368d551aab61341a2004e5	0.0	0.0	0.0	3875.0	3745.0	3619.0	4122.0	5064.0	4128.0	7059.0	6530.0	6370.0
6a61734d58356f8b757a56369d991ad8	13420.0	11675.0	11770.0	1429.0	1261.0	1504.0	185.0	356.0	0.0	0.0	0.0	0.0
c12d571950ad71396e8a66038ea3c704	7882.0	6869.0	6819.0	904.0	724.0	812.0	116.0	261.0	171.0	0.0	0.0	0.0
2433e46b819915bd69347a1445950b6f	0.0	0.0	0.0	1252.0	1197.0	1211.0	1476.0	1459.0	1335.0	2128.0	1978.0	1925.0
163a1b628a8eeef5f06664cf44f6e37b	7.0	0.0	0.0	32.0	0.0	38.0	20.0	33.0	40.0	0.0	0.0	0.0
67cec06edd8defe494a2ceeed11a4431	686.0	589.0	653.0	1620.0	1528.0	1703.0	1074.0	1525.0	1074.0	0.0	3.0	0.0
4784c4a7c21bb4454a67ee13b4b30758	0.0	0.0	0.0	0.0	911.0	868.0	1736.0	1440.0	1724.0	0.0	0.0	0.0
7bc3baf29044ea8c3d9378e88ec12b0d	0.0	0.0	0.0	1602.0	1791.0	1905.0	90.0	76.0	96.0	0.0	0.0	0.0
2357747b7f3631b1ccfea112fc870d7b	0.0	0.0	0.0	0.0	356.0	368.0	0.0	0.0	417.0	0.0	641.0	572.0
0bd8d1393959d75f5889a5856be1ee0b	763.0	616.0	739.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
298ad09f61d374a8ead456ae5efd77fb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	487.0	172.0	761.0	258.0	0.0
a784fe5dffa4f8ec090d5ac92a41fbae	574.0	466.0	473.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7f18333d7c9d892244fc6f6dccb8bd92	42.0	63.0	30.0	576.0	557.0	703.0	194.0	192.0	234.0	0.0	0.0	0.0
88215d9cb7a40160bd9e864a0415a686	0.0	0.0	0.0	0.0	372.0	30.0	0.0	30.0	316.0	499.0	31.0	337.0
a7da219338804f042788a11b2c0f2c84	464.0	383.0	349.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ff7e3bb4d52806906d2adce45d18c36c	0.0	0.0	0.0	0.0	0.0	0.0	654.0	636.0	629.0	0.0	0.0	0.0
6770869e9efd5d7c5ea8b2fbce0099a4	284.0	310.0	252.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4a919b70437d9acd70ab133139690ec1	0.0	0.0	0.0	34.0	0.0	385.0	0.0	33.0	0.0	36.0	326.0	0.0
ee44be2bc7ae9fc3aa507724dedf1fa0	0.0	0.0	0.0	0.0	0.0	0.0	359.0	0.0	0.0	69.0	54.0	57.0
85a5211f64531ddd1f9b65cb5c29803b	0.0	0.0	0.0	935.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0639c05dc03499f38b2ad5ecd581201f	0.0	0.0	0.0	376.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	45.0
1bf747ee138253c076b762233c45cef2	0.0	10.0	0.0	43.0	48.0	72.0	41.0	31.0	31.0	0.0	0.0	0.0
74e5a68e40f42f670305644e16230d06	69.0	70.0	57.0	76.0	82.0	121.0	29.0	45.0	0.0	0.0	0.0	0.0
04d07f5327076f0a3e067fd12641923f	0.0	0.0	0.0	180.0	222.0	194.0	0.0	0.0	0.0	0.0	0.0	0.0
a4c7426212fbc3a9a1ed9b1b2c420107	0.0	0.0	0.0	0.0	0.0	0.0	137.0	208.0	246.0	0.0	0.0	0.0
69bf1af125d2562ed47fb344bba9a529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	323.0	0.0	0.0	0.0	28.0
4f6d7b179667dca74ed564e382846a4e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0
bd547fcdd887ead17b2f355a61978786	0.0	0.0	0.0	0.0	0.0	0.0	32.0	27.0	48.0	0.0	29.0	74.0
e92e4a9ed888fc135488cc9d3a7ed410	0.0	0.0	0.0	0.0	0.0	0.0	155.0	154.0	124.0	0.0	0.0	0.0
c2bb6c0bebb9ee6de257ecd68e48fdba	0.0	0.0	0.0	147.0	130.0	177.0	0.0	0.0	0.0	0.0	0.0	0.0
a1ecd7f906b33878bfb635d63a56e244	6.0	5.0	11.0	85.0	64.0	127.0	42.0	39.0	43.0	3.0	0.0	0.0
36614fd4e4e256434ca96847bba4058a	0.0	0.0	0.0	0.0	0.0	63.0	109.0	107.0	111.0	0.0	0.0	0.0
d0b75d89b37d0412031aaf4375403f6c	40.0	25.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cf1eb1ffb45bfdb1c532a37dc48b23e1	70.0	53.0	53.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
486c7a80426931b79dc06a49d69ca1dd	0.0	0.0	0.0	0.0	0.0	28.0	0.0	35.0	0.0	0.0	0.0	29.0
3acbccd794bf9cd4910755bd967e2991	0.0	0.0	0.0	22.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
4e7fdec11dbb059424743d5949ab8793	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88a00dc445cfe0b0893389bd3a7738a2	53.0	34.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f4be221d301db9eaa0b6ee33c5df13cb	46.0	30.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ee57b1fc28e013e4e49a48c33bb2e4b7	0.0	0.0	43.0	0.0	71.0	93.0	46.0	0.0	0.0	0.0	0.0	0.0
7dfd3f7e3d739dc5680dc69363fd8b74	0.0	0.0	34.0	94.0	77.0	0.0	27.0	13.0	0.0	0.0	0.0	0.0
32a95b2d51a7f7843d140d2b20ed581d	0.0	39.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
09de1f1a8324908ae473c13e83b9975e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.0	0.0	0.0	0.0
0164d4621deda45e1feb697c6bcdaea6	72.0	70.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cb8ccaa40b715ac203335527c98aaf2d	50.0	44.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9ec49f87cf90a7a4e53eb98070cb9bc8	73.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22a0f714f678b99b996a0b312750dbc8	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6bde6836b3b839debc146082811eaca2	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cdd9eb9099557044e2f1b11fa09b7419	0.0	0.0	0.0	0.0	55.0	0.0	0.0	49.0	47.0	0.0	0.0	0.0
