Feature ID	Taxon	Consensus
0142133b7cd44e90f92ce01461117ad4	Unassigned	1.0
0164d4621deda45e1feb697c6bcdaea6	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.769
02763345ad0e7e865da8dc22f719d590	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Porostereum	0.7
02bc8061bb8edb9f491dea1b0938c437	Unassigned	1.0
049693491b5dd32071ad9e650fa2ab05	Unassigned	1.0
04d07f5327076f0a3e067fd12641923f	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	0.692
05bec8d7faca11dbdf1f80042758ca37	Unassigned	1.0
0625c96aac11a1a01be148964c72ae17	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.583
0639c05dc03499f38b2ad5ecd581201f	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.769
07e1b5969cb19f49532236d5fc1f32cd	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.583
08a40b8c4d5d286dbca397f68ede25c3	Unassigned	1.0
08e34d0f158e35a6dce2badc888b8aa3	Unassigned	1.0
0907a152842d16037a4433f72d7b4c22	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales	0.667
0908250414f26d371df33158b4ab7302	Unassigned	1.0
099a6b972085d18212e97e2b2be5f3ef	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes	0.636
09a377d7f92fca4beb45d0fd3aaf171f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes	0.636
09d39bd67427dd3d2f3a2969623c73c2	Unassigned	1.0
09de1f1a8324908ae473c13e83b9975e	Unassigned	1.0
0b325d6d0bf1b9e4e6e9d153bccaf0bc	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.818
0b73d9b0696287208365012eb734df9e	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae;g__Leucosporidium	0.9
0b8d4e0471513c24758aacf10be66a47	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae;g__Leucosporidium	1.0
0bd8d1393959d75f5889a5856be1ee0b	Unassigned	1.0
0e2814bb8c221be610022843b825d016	Unassigned	1.0
10bdd8ed5feae8fe36d1f551c911fa7c	Unassigned	1.0
1149acd6d97422d2c0b3ee96121e9391	Unassigned	1.0
11c687ed16f0b0e0fb4d91eccf820e5c	Unassigned	1.0
1210804c4f2e3929883991cee531926d	Unassigned	1.0
1442da38c05793c2a76b0fe6354e5719	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	1.0
1496d757f3e5b6d66914567ae595e648	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae	0.9
14b30b3fd7f0d90d7d701bc069d86641	Unassigned	1.0
1580a2106cb908dee8ee13831832f37d	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.846
163a1b628a8eeef5f06664cf44f6e37b	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae	1.0
168352f836e8f1480290cc95de3b7902	Unassigned	1.0
1919c6cf106dc7c4faef7c184c3854ff	Unassigned	1.0
192940ccc2e4332234ec76f814f161b5	Unassigned	1.0
198ae1c75a0a137f6a7709698d528c26	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.846
1bf747ee138253c076b762233c45cef2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	0.667
1c0d1952f76479f15077763c9c13c5fc	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.636
1c1e5ee65bbe59bd09356f27fdc7c3e8	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.846
1cc5a546345a4c5613315413abb0402a	Unassigned	1.0
1fd87ad96aa5747b2f39bd49bc60f504	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.583
1fdfbfdcc2a88f46aca8c395619d7390	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	1.0
203b3902a91a51afe8507e3cf7ee11e4	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	1.0
20480e63da424a5df1313d919a7d216e	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.692
206092f2b843771a0438c19facfc657c	Unassigned	1.0
21bfc8fb922eff1b83e5cb0dd9fda191	Unassigned	1.0
22a0f714f678b99b996a0b312750dbc8	Unassigned	1.0
22b7da042c86e1182ccdf0475b19dfed	Unassigned	1.0
2357747b7f3631b1ccfea112fc870d7b	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.846
2433e46b819915bd69347a1445950b6f	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.846
2443b2d168474725482cff2c03c4da10	Unassigned	1.0
2493b3f66aed04dbb74a5a3b3adba20b	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.846
2506a91ba2104d96e3441deb25ca508d	Unassigned	1.0
253b6f92d42e02044473a45a7aa2a2d5	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;f__Cystobasidiaceae;g__Occultifur	0.6
257c2024303fb301dc379f06b9d1b930	Unassigned	1.0
262552dc59b1d9ce8d52d0327ad85c78	Unassigned	1.0
2674049097d491f86258fdad000c987b	Unassigned	1.0
26bbef6564cb8670218e518a67f18a5f	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae	1.0
