marker	sample	month	reads	unique_asvs	alpha_obs	alpha_shannon
16S	old_G1_R1	0	138	3	2.98	0.254
16S	old_G1_R2	0	176	5	4.99	0.746
16S	old_G1_R3	0	159	2	2.0	0.163
16S	old_G3_R1	2	5071	118	57.5	3.793
16S	old_G3_R2	2	5452	134	56.73	3.751
16S	old_G3_R3	2	4461	106	54.14	3.672
16S	old_G5_R1	4	11663	92	40.57	3.26
16S	old_G5_R2	4	7966	66	33.62	3.082
16S	old_G5_R3	4	8192	76	36.66	3.182
16S	old_G7_R1	6	30611	24	15.69	2.441
16S	old_G7_R2	6	27003	38	18.19	2.526
16S	old_G7_R3	6	24461	30	17.07	2.502
ITS	old_G1_R1	0	216	7		
ITS	old_G1_R2	0	252	5		
ITS	old_G1_R3	0	265	8		
ITS	old_G3_R1	2	30701	29		
ITS	old_G3_R2	2	29752	33		
ITS	old_G3_R3	2	30999	31		
ITS	old_G5_R1	4	33643	32		
ITS	old_G5_R2	4	33359	35		
ITS	old_G5_R3	4	30453	30		
ITS	old_G7_R1	6	43715	10		
ITS	old_G7_R2	6	39706	13		
ITS	old_G7_R3	6	39539	12		
