marker	genus	mean_2M_pct	mean_other_pct	p_raw	p_adj_BH	significant_FDR_005	fold_change
16S	Afipia	1.146	0.0	0.0008023	0.0154	YES	
16S	Chryseobacterium	0.992	0.0	0.0008023	0.0154	YES	
16S	Clostridium_sensu_stricto_1	0.226	0.0	0.0008023	0.0154	YES	
16S	Glutamicibacter	1.336	0.0	0.0008023	0.0154	YES	
16S	Gracilibacillus	1.086	0.0	0.0008023	0.0154	YES	
16S	Hathewaya	0.499	0.0	0.0008023	0.0154	YES	
16S	Lysinibacillus	1.117	0.0	0.0008023	0.0154	YES	
16S	Nocardiopsis	0.359	0.0	0.0008023	0.0154	YES	
16S	Pseudogracilibacillus	1.218	0.0	0.0008023	0.0154	YES	
16S	Solibacillus	2.054	0.0	0.0008023	0.0154	YES	
16S	67-14	0.12	0.007	0.002117	0.02033	YES	
16S	Candidatus_Nitrocosmicus	0.336	0.006	0.002117	0.02033	YES	
16S	Devosia	0.58	0.016	0.002117	0.02033	YES	
16S	Glycomyces	0.808	0.009	0.002117	0.02033	YES	
16S	KD4-96	0.464	0.01	0.002117	0.02033	YES	
16S	Nocardioides	1.564	0.037	0.002117	0.02033	YES	
16S	Pir4_lineage	0.155	0.01	0.002117	0.02033	YES	
16S	Sphingobium	1.11	0.01	0.002117	0.02033	YES	
16S	Tepidimicrobium	0.27	0.013	0.002117	0.02033	YES	
16S	f__Micromonosporaceae	0.381	0.005	0.002117	0.02033	YES	
16S	0319-6G20	0.168	0.0	0.00784	0.02551	YES	
16S	Alkaliphilus	0.142	0.0	0.00784	0.02551	YES	
16S	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	5.224	1.314	0.006344	0.02551	YES	
16S	Altererythrobacter	0.175	0.0	0.00784	0.02551	YES	
16S	Asinibacterium	0.145	0.0	0.00784	0.02551	YES	
16S	Bacillus	16.701	0.482	0.005147	0.02551	YES	
16S	Bosea	0.321	0.049	0.006676	0.02551	YES	
16S	Candidatus_Alysiosphaera	0.187	0.0	0.00784	0.02551	YES	
16S	Caulobacter	0.174	0.0	0.00784	0.02551	YES	
16S	Chthoniobacter	0.136	0.0	0.00784	0.02551	YES	
16S	Clostridium_sensu_stricto_8	0.098	0.0	0.00784	0.02551	YES	
16S	Domibacillus	0.775	0.0	0.00784	0.02551	YES	
16S	Gaiella	0.082	0.0	0.00784	0.02551	YES	
16S	Haliangium	0.082	0.0	0.00784	0.02551	YES	
16S	JG30-KF-CM45	0.336	0.0	0.00784	0.02551	YES	
16S	Marinococcaceae	1.001	0.0	0.00784	0.02551	YES	
16S	Mesorhizobium	0.361	0.0	0.00784	0.02551	YES	
16S	Nakamurella	0.268	0.0	0.00784	0.02551	YES	
16S	Oceanobacillus	1.303	0.0	0.00784	0.02551	YES	
16S	Paenibacillus	5.88	0.236	0.005147	0.02551	YES	
16S	Paracoccus	0.642	0.057	0.004144	0.02551	YES	
16S	Peredibacter	0.29	0.0	0.00784	0.02551	YES	
16S	Planifilum	1.419	0.048	0.003677	0.02551	YES	
16S	Pseudonocardia	1.986	0.527	0.005147	0.02551	YES	
16S	Pseudoxanthomonas	0.45	0.052	0.003677	0.02551	YES	
16S	Saccharopolyspora	8.9	2.333	0.006344	0.02551	YES	
16S	Sphingobacterium	0.489	0.028	0.003677	0.02551	YES	
16S	Sphingomonas	1.471	0.095	0.005147	0.02551	YES	
